Time(s)	Conductance(uS)
200.203000	13.414600
200.303000	13.289000
200.403000	13.540500
200.503000	13.289000
200.603000	13.540500
200.703000	13.414600
200.803000	13.289000
200.903000	13.414600
201.003000	13.289000
201.103000	13.289000
201.203000	13.289000
201.303000	13.289000
201.403000	13.163700
201.503000	13.289000
201.603000	13.163700
201.703000	13.163700
201.803000	13.289000
201.903000	13.163700
202.003000	13.540500
202.103000	13.666700
202.203000	13.666700
202.303000	13.163700
202.403000	12.913900
202.503000	12.913900
202.603000	11.316600
202.703000	11.803300
202.803000	13.038700
202.903000	13.038700
203.003000	12.789400
203.103000	12.541300
203.203000	12.541300
203.303000	12.541300
203.403000	12.541300
203.503000	12.541300
203.603000	12.789400
203.703000	12.789400
203.803000	12.913900
203.903000	12.913900
204.003000	13.038700
204.103000	13.163700
204.203000	11.925600
204.303000	10.954400
204.403000	10.714300
204.503000	12.789400
204.603000	13.793100
204.703000	14.046800
204.803000	14.301700
